Iteration,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes,,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes
1,0.016689300537109375,0.009059906005859375,0.045299530029296875,0.012636184692382812,0.0045299530029296875,0.01811981201171875,0.0152587890625,0.014543533325195312,0.23174285888671875,0.010251998901367188,0.16164779663085938,0.1785755157470703,0.0152587890625,0.07271766662597656,0.0054836273193359375,0.02002716064453125,0.22983551025390625,0.0057220458984375,,0.016689300537109375,0.009059906005859375,0.045299530029296875,0.012636184692382812,0.0045299530029296875,0.01811981201171875,0.0152587890625,0.014543533325195312,0.23174285888671875,0.010251998901367188,0.16164779663085938,0.1785755157470703,0.0152587890625,0.07271766662597656,0.0054836273193359375,0.02002716064453125,0.22983551025390625,0.0057220458984375
2,0.010013580322265625,0.0030994415283203125,0.022411346435546875,0.012159347534179688,0.0016689300537109375,0.020265579223632812,0.012159347534179688,0.005245208740234375,0.18215179443359375,0.0095367431640625,0.022649765014648438,0.13828277587890625,0.014066696166992188,0.07605552673339844,0.003337860107421875,0.011682510375976562,0.05459785461425781,0.00286102294921875,,0.026702880859375,0.012159347534179688,0.06771087646484375,0.0247955322265625,0.006198883056640625,0.03838539123535156,0.027418136596679688,0.019788742065429688,0.4138946533203125,0.019788742065429688,0.1842975616455078,0.31685829162597656,0.029325485229492188,0.148773193359375,0.008821487426757812,0.03170967102050781,0.28443336486816406,0.00858306884765625
3,0.008344650268554688,0.002384185791015625,0.014543533325195312,0.009775161743164062,0.0026226043701171875,0.011205673217773438,0.01049041748046875,0.016689300537109375,0.09441375732421875,0.009775161743164062,0.037670135498046875,0.10561943054199219,0.017642974853515625,0.07176399230957031,0.0026226043701171875,0.013113021850585938,0.14662742614746094,0.00286102294921875,,0.03504753112792969,0.014543533325195312,0.08225440979003906,0.03457069396972656,0.008821487426757812,0.049591064453125,0.03790855407714844,0.03647804260253906,0.5083084106445312,0.02956390380859375,0.2219676971435547,0.42247772216796875,0.04696846008300781,0.2205371856689453,0.011444091796875,0.04482269287109375,0.431060791015625,0.011444091796875
4,0.00858306884765625,0.001430511474609375,0.012874603271484375,0.015735626220703125,0.0057220458984375,0.011920928955078125,0.011444091796875,0.0209808349609375,0.11897087097167969,0.010967254638671875,0.0553131103515625,0.1220703125,0.028848648071289062,0.1544952392578125,0.0026226043701171875,0.010013580322265625,0.16808509826660156,0.0026226043701171875,,0.04363059997558594,0.015974044799804688,0.09512901306152344,0.05030632019042969,0.014543533325195312,0.061511993408203125,0.04935264587402344,0.05745887756347656,0.6272792816162109,0.040531158447265625,0.2772808074951172,0.5445480346679688,0.07581710815429688,0.3750324249267578,0.014066696166992188,0.054836273193359375,0.5991458892822266,0.014066696166992188
5,0.013828277587890625,0.001430511474609375,0.011444091796875,0.008344650268554688,0.005245208740234375,0.010967254638671875,0.12445449829101562,0.025510787963867188,0.11849403381347656,0.010013580322265625,0.031948089599609375,0.12564659118652344,0.01049041748046875,0.14901161193847656,0.00286102294921875,0.017881393432617188,0.12445449829101562,0.0026226043701171875,,0.05745887756347656,0.017404556274414062,0.10657310485839844,0.058650970458984375,0.019788742065429688,0.072479248046875,0.17380714416503906,0.08296966552734375,0.7457733154296875,0.05054473876953125,0.30922889709472656,0.6701946258544922,0.08630752563476562,0.5240440368652344,0.016927719116210938,0.07271766662597656,0.7236003875732422,0.016689300537109375
6,0.01430511474609375,0.0045299530029296875,0.011920928955078125,0.01430511474609375,0.001430511474609375,0.012159347534179688,0.011920928955078125,0.0820159912109375,0.13303756713867188,0.010251998901367188,0.011682510375976562,0.12326240539550781,0.013828277587890625,0.09703636169433594,0.0026226043701171875,0.0133514404296875,0.049591064453125,0.0026226043701171875,,0.07176399230957031,0.02193450927734375,0.11849403381347656,0.07295608520507812,0.021219253540039062,0.08463859558105469,0.1857280731201172,0.16498565673828125,0.8788108825683594,0.06079673767089844,0.3209114074707031,0.79345703125,0.10013580322265625,0.6210803985595703,0.019550323486328125,0.08606910705566406,0.7731914520263672,0.019311904907226562
7,0.010967254638671875,0.0054836273193359375,0.011920928955078125,0.012636184692382812,0.0035762786865234375,0.012159347534179688,0.014781951904296875,0.003337860107421875,0.11420249938964844,0.012874603271484375,0.010967254638671875,0.13113021850585938,0.0171661376953125,0.062465667724609375,0.0026226043701171875,0.014066696166992188,0.17952919006347656,0.0026226043701171875,,0.08273124694824219,0.027418136596679688,0.1304149627685547,0.08559226989746094,0.0247955322265625,0.09679794311523438,0.20051002502441406,0.16832351684570312,0.9930133819580078,0.07367134094238281,0.331878662109375,0.9245872497558594,0.11730194091796875,0.6835460662841797,0.022172927856445312,0.10013580322265625,0.9527206420898438,0.02193450927734375
8,0.014066696166992188,0.003337860107421875,0.012874603271484375,0.0095367431640625,0.001430511474609375,0.021457672119140625,0.013828277587890625,0.057220458984375,0.2384185791015625,0.011920928955078125,0.024080276489257812,0.141143798828125,0.016927719116210938,0.1723766326904297,0.004291534423828125,0.016689300537109375,0.15997886657714844,0.0035762786865234375,,0.09679794311523438,0.030755996704101562,0.14328956604003906,0.09512901306152344,0.026226043701171875,0.118255615234375,0.2143383026123047,0.22554397583007812,1.2314319610595703,0.08559226989746094,0.3559589385986328,1.0657310485839844,0.1342296600341797,0.8559226989746094,0.026464462280273438,0.11682510375976562,1.1126995086669922,0.025510787963867188
9,0.013828277587890625,0.0021457672119140625,0.022649765014648438,0.011205673217773438,0.005245208740234375,0.011920928955078125,0.013113021850585938,0.025510787963867188,0.23555755615234375,0.014066696166992188,0.12636184692382812,0.1392364501953125,0.011920928955078125,0.14162063598632812,0.0026226043701171875,0.021219253540039062,0.03695487976074219,0.00286102294921875,,0.110626220703125,0.032901763916015625,0.1659393310546875,0.10633468627929688,0.03147125244140625,0.13017654418945312,0.22745132446289062,0.2510547637939453,1.466989517211914,0.09965896606445312,0.48232078552246094,1.2049674987792969,0.1461505889892578,0.9975433349609375,0.029087066650390625,0.1380443572998047,1.1496543884277344,0.028371810913085938
10,0.011444091796875,0.0030994415283203125,0.012874603271484375,0.011205673217773438,0.0040531158447265625,0.013828277587890625,0.025510787963867188,0.03790855407714844,0.125885009765625,0.012636184692382812,0.04673004150390625,0.11968612670898438,0.011682510375976562,0.13709068298339844,0.0026226043701171875,0.018358230590820312,0.08058547973632812,0.0026226043701171875,,0.1220703125,0.03600120544433594,0.17881393432617188,0.11754035949707031,0.03552436828613281,0.14400482177734375,0.2529621124267578,0.28896331787109375,1.592874526977539,0.11229515075683594,0.5290508270263672,1.3246536254882812,0.15783309936523438,1.134634017944336,0.03170967102050781,0.156402587890625,1.2302398681640625,0.030994415283203125
